Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
28,Property damage only,2008,July,Tuesday,8,Rear-end,Multi-Vehicle,153.0943562,-27.47474918,Ludwick St,Richmond Rd,,Cannon Hill,Brisbane City,4170,Morningside,South Brisbane,Brisbane,SEQ South,Metropolitan,Cannon Hill,Carindale,Brisbane - South,Major Cities,Bulimba,Griffith,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,301,Vehs Same Direction: Rear End,04: Rear-end,E,0,0,0,0,0,2,0,0,0,0,0,0
29,Property damage only,2007,November,Saturday,23,Hit object,Single Vehicle,153.134138,-27.62483848,Barbaralla Dr,Wootton Cres,,Springwood,Logan City,4127,Springwood,Logan,South Eastern,SEQ South,South Coast,Springwood,Springwood - Kingston,Logan - Beaudesert,Major Cities,Springwood,Rankin,Locally-controlled,Intersection - T-Junction,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Dip,703,Off Path-Straight: Left Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,S,0,0,0,0,0,1,0,0,0,0,0,0
30,Property damage only,2007,October,Saturday,11,Rear-end,Multi-Vehicle,152.9768881,-27.12017238,Bruce Hwy,,Bruce Highway (Brisbane - Gympie),Morayfield,Moreton Bay Region,4506,Burpengary,Moreton,North Coast,SEQ North,North Coast,Burpengary - East,Caboolture,Moreton Bay - North,Major Cities,Morayfield,Longman,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,N,0,0,0,0,0,2,0,0,1,0,0,0
31,Minor injury,2008,October,Tuesday,17,Rear-end,Multi-Vehicle,153.0881688,-27.49582034,Old Cleveland Rd,,,Carina,Brisbane City,4152,Carina,South Brisbane,Brisbane,SEQ South,Metropolitan,Carina,Carindale,Brisbane - South,Major Cities,Chatsworth,Griffith,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,301,Vehs Same Direction: Rear End,04: Rear-end,W,0,0,0,1,1,2,0,0,0,0,0,0
32,Property damage only,2007,July,Sunday,12,Angle,Multi-Vehicle,153.0419087,-27.42554628,Bridge St,Bridge St Overpass,,Wooloowin,Brisbane City,4030,Hendra,North Brisbane,Brisbane,SEQ North,Metropolitan,Wooloowin - Lutwyche,Brisbane Inner - North,Brisbane Inner City,Major Cities,Clayfield,Brisbane,Locally-controlled,Intersection - T-Junction,Stop sign,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,107,Vehs Adjacent Approach: Thru-Left,01: Intersection: Adjacent Approach,W,0,0,0,0,0,2,0,0,0,0,0,0
33,Hospitalisation,2007,October,Friday,9,Angle,Multi-Vehicle,153.4342537,-28.10203051,Kortum Dr,Ramly Dr,,Burleigh Heads,Gold Coast City,4220,Robina,Gold Coast,South Eastern,SEQ South,South Coast,Burleigh Heads,Broadbeach - Burleigh,Gold Coast,Major Cities,Burleigh,Mcpherson,Locally-controlled,Intersection - Cross,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,101,Vehs Adjacent Approach: Thru-Thru,01: Intersection: Adjacent Approach,N,0,1,1,0,2,2,0,0,0,0,0,0
34,Minor injury,2008,March,Thursday,11,Overturned,Single Vehicle,153.3518924,-28.03107462,Pacific Hwy,,Pacific Highway (Pacific Motorway),Worongary,Gold Coast City,4213,Nerang,Gold Coast,South Eastern,SEQ South,South Coast,Carrara,Nerang,Gold Coast,Major Cities,Mudgeeraba,Moncrieff,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,701,Off Path-Straight: Left Off Cway,15: Off Carriageway on Straight,S,0,0,0,1,1,1,0,0,0,0,0,0
35,Property damage only,2008,November,Saturday,19,Overturned,Single Vehicle,153.3374142,-28.0512291,Harry Mills Dr,,,Worongary,Gold Coast City,4213,Mudgeeraba,Gold Coast,South Eastern,SEQ South,South Coast,Worongary - Tallai,Nerang,Gold Coast,Major Cities,Mudgeeraba,Wright,Locally-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Dip,805,Off Path-Curve: Out Of Control On Cway,20: Out of Control on Curve,E,0,0,0,0,0,1,0,0,0,0,0,0
36,Medical treatment,2008,March,Thursday,11,Angle,Multi-Vehicle,146.763008,-19.31338895,Angus Smith Dr,Bruce Hwy,Douglas - Garbutt Road,Douglas,Townsville City,4814,Stuart,Townsville,Northern,Northern,North Queensland,Douglas,Townsville,Townsville,Outer Regional,Mundingburra,Herbert,State-controlled,Intersection - Roundabout,Give way sign,60 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,202,Vehs Opposite Approach: Thru-Right,03: Opposing Vehicles Turning,N,0,0,1,0,1,2,0,0,0,0,0,0
37,Medical treatment,2007,November,Tuesday,7,Hit object,Single Vehicle,153.0703693,-27.6690541,Browns Plains Rd,,,Berrinba,Logan City,4117,Crestmead,Logan,South Eastern,SEQ South,South Coast,Browns Plains,Browns Plains,Logan - Beaudesert,Major Cities,Woodridge,Rankin,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Raining,Daylight,Straight,Grade,703,Off Path-Straight: Left Off Cway Hit Obj,16: Off Carriageway on Straight Hit Object,E,0,0,1,0,1,1,0,0,0,0,0,0
